titulo,parrafo
7 World Trade Center,"['\n\n\n', ' (', ', ', ', or ', ') refers to two buildings that have existed at the same location within the ', ' in ', ', ', '. The original structure, part of the ', ', was completed in 1987 and was destroyed in the ', ' in 2001. The current structure opened in May 2006. Both buildings were developed by ', ', who holds a ', ' for the site from the ']"
"Buildings of Nuffield College, Oxford","['\n', '\n', 'The ', ', one of the ', ' of the ', ', are to the west of the city centre of ', ', England, and stand on the site of the basin of the ', '. ', ' was founded in 1937 after a donation to the University by the car manufacturer ', '; he gave land for the college, as well as £900,000 (approximately £246\xa0million in present-day terms) to build and endow it. The architect ', ', who had worked in Greece and Palestine, was appointed by the University to design the buildings. His initial design, heavily influenced by Mediterranean architecture, was rejected by Nuffield, who called it ""un-English""', ' and refused to allow his name to be associated with it. Harrison reworked the plans, aiming for ""something on the lines of ', '"",', ' as Nuffield wanted.\n', ""Construction of the second design began in 1949 and was finished in 1960. Progress was hampered by post-war building restrictions, and the effects of inflation on Nuffield's donation led to various cost-saving changes to the plans. In one change, the tower, which had been planned to be ornamental, was redesigned to hold the college's library. It was the first tower built in Oxford for 200 years and is about 150 feet (46\xa0m) tall, including the "", ' on top. The buildings are arranged around two ', ', with residential accommodation for students and ', ' in one, and the hall, library and administrative offices in the other. The chapel has ', ' windows designed by ']"
Cathedral of the Immaculate Conception (Moscow),"['\n\n', 'The ', ' is a ', ' ', ' at ', ""'s center, that serves as the cathedral of the "", '. Located in the ', ', it is one of three ', ' churches in ', ' and the largest in Russia.', '\n', 'The construction of the cathedral was approved in 1894 by the ', ' under ', '. ', ' was in 1899; construction work began in 1901 and was completed ten years later. Three-aisled and built from red brick, the cathedral is based on a design by architect ', '. The style was influenced by ', ' and ', '. With the help of funds from Catholic ', ' in Russia and its neighbouring states, the church was consecrated as a ', "" for Moscow's Polish parish in 1911. In the aftermath of the "", ' in 1917, the ']"
Catherine de' Medici's building projects,"[' included the ', ' chapel at ', ', the ', ', and the ', ' in Paris, and extensions to the ', ', near ', '. Born in 1519 in Florence to an Italian father and a French mother, ', ' was a daughter of both the ', ' and the ', '. She grew up in Florence and Rome under the wing of the ', ' popes, ', ' and ', '. In 1533, at the age of fourteen, she left Italy and married ', ', the second son of ', ' and ', ' of France. On doing so, she entered the greatest Renaissance court in northern Europe.', ' \n', 'King Francis set his daughter-in-law an example of kingship and artistic patronage that she never forgot.', ' She witnessed his huge architectural schemes at ', ' and ', '. She saw Italian and French craftsmen at work together, forging the style that became known as the first ']"
Capon Chapel,"['\n\n', ' (', ' ', '), also historically known as ', ' and ', ', is a mid-19th century ', ' church located near to the town of ', ', in the ', '. Capon Chapel is one of the oldest existing log churches in ', ', along with ', ' and ']"
"Ceilings of the Natural History Museum, London","['\n', '\n', 'A pair of decorated ', ' in the main Central Hall (officially Hintze Hall since 2014) and smaller North Hall of the ', ' in ', "", London, were unveiled at the building's opening in 1881. They were designed by the museum's architect "", ' and painted by the artist ', '. The ceiling of the Central Hall consists of 162 panels, 108 of which depict plants considered significant to the history of the museum, to the ', "" or the museum's visitors and the remainder are highly stylised decorative botanical paintings. The ceiling of the smaller North Hall consists of 36 panels, 18 of which depict plants growing in the "", '. Painted directly onto the plaster of the ceilings, they also make use of ', ' for visual effect.\n', 'The natural history collections had originally shared a building with their parent institution the ', "", but with the expansion of the British Empire there was a significant increase in both public and commercial interest in natural history, and in the number of specimens added to the museum's natural history collections. In 1860 it was agreed that a separate museum of natural history would be created in a large building, capable of displaying the largest specimens, such as whales. The superintendent of the natural history departments, "", ', envisaged that visitors would enter a large central hall containing what he termed an ""index collection"" of representative exhibits, from which other galleries would radiate, and a smaller hall to the north would display the natural history of the British Isles. Waterhouse\'s ', ' design for the museum included decorative painted ceilings. ', ', the ', "", refused to permit the decoration of the ceilings on grounds of cost, but Waterhouse convinced him that provided the painting took place while the scaffolding from the museum's construction was still in place it would incur no extra cost; he further managed to convince Ayrton that the ceiling would be more appealing if elements of the paintings were gilded.\n"", 'The ceiling of the Central Hall consists of six rows of painted panels, three on each side of the roof\'s apex. Above the landing at the southern end of the building, the ceiling is divided into nine-panel blocks. The uppermost three panels in each block consist of what Waterhouse termed ""archaic"" panels, depicting stylised plants on a green background. Each of the lower six panels in each block depicts a plant considered of particular significance to the British Empire, against a pale background. Above the remainder of the Central Hall the archaic panels remain in the same style, but each set of six lower panels depicts a single plant, spreading across the six panels and against the same pale background; these represent plants considered of particular significance either to visitors, or to the history of the museum. The ceiling of the smaller North Hall comprises just four rows of panels. The two uppermost rows are of a simple design of heraldic symbols of the then constituent countries of the United Kingdom; each panel in the lower two rows depicts a different plant found in Britain or Ireland, in keeping with the room\'s intended purpose as a display of British natural history.\n', 'As the ceilings were built cheaply, they are extremely fragile and require regular repair. They underwent significant conservation work in 1924, 1975 and 2016. The restoration in 2016 coincided with the removal of ""', '"", a cast of a ', ' skeleton which had previously stood in the Central Hall, and the installation of the skeleton of a ']"
Castle,"['\n\n', 'A ', ' is a type of ', ' structure built during the ', ' predominantly by the ', ' or royalty and by ', '. Scholars debate the scope of the word ', ', but usually consider it to be the private ', ' of a lord or noble. This is distinct from a ', ', which is not fortified;\nfrom a fortress, which was not always a residence for royalty or nobility; from a ', ' which was a walled-in residence for nobility, but not adequately fortified;', '\nand from a fortified settlement, which was a public defence – though there are many similarities among these types of construction. Use of the term has varied over time and has been applied to structures as diverse as ', ' and country houses. Over the approximately 900\xa0years that castles were built, they took on a great many forms with many different features, although some, such as ', ', ', ', and portcullises, were commonplace.\n', 'European-style castles originated in the 9th\xa0and 10th\xa0centuries, after the fall of the ', ' resulted in its territory being divided among individual lords and princes. These nobles built castles to control the area immediately surrounding them and the castles were both offensive and defensive structures; they provided a base from which raids could be launched as well as offered protection from enemies. Although their military origins are often emphasised in castle studies, the structures also served as centres of administration and symbols of power. Urban castles were used to control the local populace and important travel routes, and rural castles were often situated near features that were integral to life in the community, such as mills, fertile land, or a water source.\n', 'Many northern European castles were originally built from earth and timber, but had their defences replaced later by ', '. Early castles often exploited natural defences, lacking features such as towers and arrowslits and relying on a central ', '. In the late 12th\xa0and early 13th\xa0centuries, a scientific approach to castle defence emerged. This led to the proliferation of towers, with an emphasis on ', "". Many new castles were polygonal or relied on concentric defence\xa0– several stages of defence within each other that could all function at the same time to maximise the castle's firepower. These changes in defence have been attributed to a mixture of castle technology from the ""]"
Castell Coch,"['\n\n\n', ' (', '; ', "" for 'Red Castle') is a 19th-century "", ' castle built above the village of ', ' in ', '. The first castle on the site was built by the Normans after 1081 to protect the newly conquered town of ', ' and control the route along the ', "". Abandoned shortly afterwards, the castle's earth "", ' was reused by ', ' as the basis for a new stone fortification, which he built between 1267 and 1277 to control his freshly annexed Welsh lands. This castle may have been destroyed in the ', ' rebellion of 1314. In 1760, the castle ruins were acquired by ', ', as part of a marriage settlement that brought the family vast estates in South Wales.\n', "", inherited the castle in 1848. One of Britain's wealthiest men, with interests in "", ' and ', ' studies, he employed the architect ', ' to rebuild the castle, ""as a country residence for occasional occupation in the summer"", using the medieval remains as a basis for the design. Burges rebuilt the outside of the castle between 1875 and 1879, before turning to the interior; he died in 1881 and the work was finished by Burges\'s remaining team in 1891. Bute reintroduced commercial ', ' into Britain, planting a vineyard just below the castle, and wine production continued until the ', '. He made little use of his new retreat, and in 1950 his grandson, the ', ', placed it into the care of the state. It is now controlled by the Welsh heritage agency ']"
"Buildings of Jesus College, Oxford","['\n', '\n', 'The main ', ', one of the ', ' of the ', ', are located in the centre of the city of ', ', England, between ', ', ', ', ', ', and ', '. ', ' was founded in 1571 by ', ' caused by the petition of a ', ' clergyman, ', ', who was treasurer of ', "". Her foundation charter gave to the college the land and buildings of White Hall, a university hall that had experienced a decline in student numbers. Price added new buildings to those of White Hall, and construction work continued after his death in 1574. The first of the college's "", "", which includes the hall, chapel, and principal's lodgings was completed between 1621 and 1630.  Construction of the second quadrangle began in the 1630s, but was interrupted by the "", ' and was not completed until about 1712. Further buildings were erected in a third quadrangle during the 20th century, including science laboratories (now closed), a library for undergraduates, and additional accommodation for students and ', '. In addition to the main site, the college owns flats in east and north Oxford, and a sports ground.\n', 'The chapel, which was dedicated in 1621 and extended in 1636, was extensively altered in 1864 under the supervision of the architect ', '. The alterations have had their supporters and their critics; one historian of the college (']"
Buckton Castle,"['\n\n', ' was a ', ' ', ' near ', ' in ', ', ', ', England. It was surrounded by a 2.8-metre-wide (9\xa0ft) stone ', ' and a ditch 10 metres (33\xa0ft) wide by 6 metres (20\xa0ft) deep. Buckton is one of the earliest stone castles in North West England and only survives as buried remains overgrown with heather and peat. It was most likely built and demolished in the 12th century. The earliest surviving record of the site dates from 1360, by which time it was lying derelict. The few finds retrieved during archaeological investigations indicate that Buckton Castle may not have been completed.\n', 'In the 16th century, the site may have been used as a beacon for the ', "". During the 18th century, the castle was of interest to treasure hunters following rumours that gold and silver had been discovered at Buckton. The site was used as an anti-aircraft decoy site during the Second World War. Between 1996 and 2010, Buckton Castle was investigated by archaeologists as part of the Tameside Archaeology Survey, first by the University of Manchester Archaeological Unit then the University of Salford's Centre for Applied Archaeology. The project involved "", ', and more than 60 volunteers took part. The castle, close to the Buckton Vale Quarry, is a ']"
